Control1	Control2	Treated1	Treated2
8887589.648	9762148.442	0	4873606.232
2880651.699	0	0	1168703.223
9222014.344	11879477.63	4106328.723	5005727.814
0	0	0	0
0	5468293.282	0	0
10105238.54	13899373.64	0	6077592.791
13316183.35	8892618.823	0	0
612301216.1	654259630.7	179889498.5	187918130.4
26773464.3	47998526.22	5149138.397	0
0	0	0	0
8217960.711	7363409.342	9403060.042	7094088.896
332507015.9	305563515.8	346773819.6	354028562.7
2292017.462	21796372.87	29455606.21	17192607.3
0	0	0	0
66750077.95	71937610.02	1829340.855	2591492.287
0	0	53531411.79	50248205.28
50273620.21	50029066.2	24351672.98	17156713
9273464.297	13406476.44	2222818.948	0
63788587.46	53173128.1	23672822.81	19393233.54
0	0	0	0
0	3663814.631	1393516.73	0
0	8204855.283	8334363.65	0
0	0	0	0
13292017.46	12570516.23	0	5620895.066
0	0	0	0
3597910.82	3955704.753	0	1831487.704
0	0	0	0
1644449641	1927702952	1318445252	1285817932
222294979.7	276382691.3	97399737.27	159259966.4
0	20524829.08	5647554.285	18836490
0	0	0	0
0	8558562.247	9417355.691	5288681.839
0	0	0	0
20307140.63	25253203.42	11934549.11	5752634.795
0	0	0	0
0	0	0	0
8645151.232	8916363.041	0	5000381.854
0	0	0	0
6522294.98	6330454.006	9163124.952	8542462.196
0	0	0	0
7805581.54	22020714.78	9467970.018	10532304.87
0	0	0	0
1917368.257	3088713.309	0	1558270.964
0	0	0	0
862410.3524	720571.4988	0	1046700.779
11213751.17	0	0	0
0	0	0	0
6275413.159	7024685.799	2904489.607	3020620.131
4736124.104	10643959.55	1917935.245	3369100.351
169169005.3	216129692.6	84015918.4	80113028.87
3952993.452	4128955.664	2083301.136	2382465.251
0	0	0	0
367095416.3	468383346.3	191337609.1	215774400.5
396211412.5	3819462.071	240035545.9	112345349
0	0	0	0
3290302.463	3814467.597	944556.0621	0
0	0	0	0
0	0	0	0
0	0	267177.9615	0
0	14324313.26	0	0
41026660.43	41653088.8	19070782.78	18674201.92
0	0	0	2789903.773
6070159.027	7684611.291	1783633.413	3415190.163
79326473.34	70260777.01	37908198.75	21287230.79
29978172.75	28331764.03	13861370.84	12046357.11
10424072.34	4099971.343	6336836.411	3868565.755
49290614.28	29368321.94	0	0
0	0	5316049.764	7985336.795
0	0	0	0
11778141.57	13382732.22	6213584.731	12479379.87
0	0	0	0
19830838.79	30327915.83	9097828.607	12219718.96
59722482.07	45882834.57	14520902.56	11383458.07
0	6939943.505	0	0
0	0	0	0
1898035.547	1103860.482	568387.2962	555139.7587
0	0	0	0
17468818.21	20664838.09	16277721.97	25960745.38
11747739.32	8693658.656	11526157.17	16236444.17
0	22905800.96	11360791.28	13133114.4
0	0	0	0
6814780.168	10783968.56	6157561.239	6349473.041
23805737.45	20333237.81	0	13896059.26
0	0	0	0
19775491.11	20613255.82	11784637.97	9894608.218
0	3891840.996	1843945.599	2219337.101
36605862.18	35976583.29	24267444.56	21678631.43
0	0	0	0
0	0	0	0
25124727.16	11920415.93	19316899.78	6589659.386
0	0	0	0
0	0	0	0
6671499.844	0	8371068.696	0
5312519.489	4701355.058	2563248.59	0
0	0	0	0
0	0	0	0
0	0	0	1923361.845
2272918.616	1674294.838	592573.9896	719871.697
1415497.35	1321816.023	4711382.428	3062509.546
8417524.166	21702214.76	2405841.898	6410187.872
0	0	0	0
